instance,model,city,DB,DT,OC,RM,GM,num_periods,num_scenarios,obj_value,elapsed_time,n_variables,n_constraints,n_nonzeroes,hiring_costs,outsourcing_costs,regional_avg_hired_pct,global_avg_hired_pct,mu,n_parcels_outsourced,n_parcels_inhouse,parcels_outsourced_pct,model_long,global_courier_limit,cost_per_parcel,hiring_costs_per_parcel,outsourcing_costs_per_parcel,hiring_costs_per_inhouse_parcel,outsourcing_costs_per_outsourced_parcel,n_shift_start_periods,courier_moved_pct,periods_with_start,periods_with_start_pct
lyon_db=0.50_dt=doublepeak,PartFlex,Lyon,0.5,DoublePeak,2.5,9999.0,9999.0,8,30,211.22500200000002,0.04038810729980469,4627,4033,7463,182.0,29.225002000000018,0.013874503607658104,1.3874946016625556e-06,3.0,17.942221990347925,562.8469128713554,3.0892833411252267,PartFlex ($\mu = 3$),1639646019,0.5016426583280558,0.4322355921469284,0.06940706618112734,0.3233561308376547,1.628839617284955,,0.78125,4.0,50.0
lyon_db=0.50_dt=doublepeak,PartFlex,Lyon,0.5,DoublePeak,2.5,9999.0,9999.0,8,30,211.22500200000002,0.03992199897766113,4627,4033,7463,182.0,29.225002000000018,0.013874503607658104,1.3874946016625556e-06,4.0,17.942221990347925,562.8469128713554,3.0892833411252267,PartFlex ($\mu = 4$),1639646019,0.5016426583280558,0.4322355921469284,0.06940706618112734,0.3233561308376547,1.628839617284955,,0.78125,4.0,50.0
lyon_db=0.50_dt=peak,BaseModel,Lyon,0.5,Peak,1.2,9999.0,9999.0,8,30,183.43466666666643,0.0901038646697998,3968,3880,5890,148.0,35.43466666666643,0.011055892326554321,1.1047133815190081e-06,,54.5374759936239,506.1430013946547,9.727015331025335,BaseModel,1674642519,0.42001526484506124,0.3388795603724622,0.08113570447259906,0.29240748087436264,0.6497305938912387,,,,
lyon_db=0.50_dt=peak,Fixed,Lyon,0.5,Peak,1.2,9999.0,9999.0,8,30,264.7740020000001,0.05862879753112793,4368,4000,6874,196.0,68.77400200000011,0.014657762515508209,1.4629988025522002e-06,,50.295232270921936,527.5600542374416,8.703776437665937,Fixed,1674642519,0.6062601175393072,0.44878644481758506,0.1574736727217221,0.37152168445222217,1.3674059924714101,2.0,0.8928571428571429,,
lyon_db=0.50_dt=peak,Flex,Lyon,0.5,Peak,1.2,9999.0,9999.0,8,30,185.08466666666652,0.04234004020690918,4624,4020,7166,151.0,34.08466666666652,0.01126567247725987,1.1271062203335826e-06,,49.37083561393906,504.83828162108284,8.908340566509032,Flex,1674642519,0.4237933139978626,0.3457487406502824,0.07804457334758019,0.2991056849237441,0.6903805909463535,,0.0,5.0,62.5
lyon_db=0.50_dt=peak,PartFlex,Lyon,0.5,Peak,1.2,9999.0,9999.0,8,30,185.12466666666649,0.07445621490478516,4627,4033,7229,148.0,37.124666666666485,0.01104198952249751,1.1047133815190081e-06,2.0,54.01250228060573,500.1966149544162,9.745870394568193,PartFlex ($\mu = 2$),1674642519,0.42388490306823345,0.3388795603724622,0.08500534269577122,0.29588364969940373,0.6873346928790011,,0.0,4.0,50.0
lyon_db=0.50_dt=peak,PartFlex,Lyon,0.5,Peak,1.2,9999.0,9999.0,8,30,185.08466666666652,0.04054522514343262,4627,4033,7229,151.0,34.08466666666652,0.01126567247725987,1.1271062203335826e-06,3.0,49.37083561393906,504.83828162108284,8.908340566509032,PartFlex ($\mu = 3$),1674642519,0.4237933139978626,0.3457487406502824,0.07804457334758019,0.2991056849237441,0.6903805909463535,,0.0,5.0,62.5
lyon_db=0.50_dt=peak,PartFlex,Lyon,0.5,Peak,1.2,9999.0,9999.0,8,30,185.08466666666652,0.04000091552734375,4627,4033,7229,151.0,34.08466666666652,0.01126567247725987,1.1271062203335826e-06,4.0,49.37083561393906,504.83828162108284,8.908340566509032,PartFlex ($\mu = 4$),1674642519,0.4237933139978626,0.3457487406502824,0.07804457334758019,0.2991056849237441,0.6903805909463535,,0.0,5.0,62.5
lyon_db=0.50_dt=peak,BaseModel,Lyon,0.5,Peak,1.5,9999.0,9999.0,8,30,190.3724999999999,0.060685157775878906,3968,3880,5890,160.0,30.37249999999989,0.011945239367866296,1.1942847367773063e-06,,44.419480934136104,539.4208623545256,7.60815545632383,BaseModel,1674642519,0.4359010074797738,0.36635628148374294,0.06954472599603088,0.29661440846320586,0.6837653066012936,,,,
lyon_db=0.50_dt=peak,Fixed,Lyon,0.5,Peak,1.5,9999.0,9999.0,8,30,280.4758363333332,0.04784512519836426,4368,4000,6874,212.0,68.47583633333318,0.01582988788695869,1.5824272762299306e-06,,37.32276374328099,568.2460142877195,6.1632576013306855,Fixed,1674642519,0.6422130277820176,0.4854220729659594,0.15679095481605826,0.37307784774475905,1.8346936149834432,2.0,1.3392857142857144,,
